In1	In2	In3	In4	In5	In6	In7	In8	In9	In10	target
3.0	3.0	4.0	3.0	4.0	2.0	3.0	3.0	3.0	3.0	5.0
1.0	1.0	2.0	2.0	1.0	2.0	1.0	2.0	2.0	2.0	3.0
1.0	3.0	4.0	1.0	4.0	2.0	1.0	3.0	1.0	1.0	4.0
2.0	2.0	2.0	1.0	3.0	2.0	2.0	2.0	3.0	3.0	5.0
1.0	1.0	2.0	1.0	1.0	1.0	2.0	2.0	1.0	2.0	4.0
1.0	2.0	1.0	3.0	1.0	1.0	1.0	1.0	3.0	2.0	3.0
2.0	3.0	3.0	2.0	2.0	2.0	3.0	2.0	3.0	3.0	4.0
3.0	2.0	2.0	1.0	1.0	2.0	3.0	1.0	1.0	3.0	2.0
2.0	3.0	2.0	2.0	2.0	1.0	3.0	3.0	1.0	2.0	4.0
2.0	2.0	4.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	5.0
2.0	2.0	1.0	2.0	3.0	1.0	2.0	2.0	2.0	1.0	3.0
3.0	3.0	3.0	2.0	4.0	2.0	2.0	2.0	3.0	1.0	4.0
3.0	1.0	1.0	3.0	3.0	2.0	2.0	2.0	3.0	3.0	5.0
3.0	3.0	2.0	3.0	4.0	1.0	2.0	2.0	3.0	3.0	5.0
2.0	2.0	4.0	3.0	3.0	2.0	3.0	2.0	3.0	3.0	5.0
3.0	3.0	3.0	2.0	1.0	1.0	2.0	2.0	3.0	2.0	3.0
1.0	2.0	3.0	3.0	2.0	1.0	3.0	1.0	3.0	3.0	3.0
2.0	3.0	3.0	1.0	1.0	2.0	3.0	2.0	1.0	1.0	3.0
2.0	1.0	2.0	2.0	3.0	1.0	2.0	2.0	3.0	1.0	3.0
1.0	3.0	3.0	2.0	4.0	1.0	1.0	3.0	3.0	3.0	4.0
1.0	2.0	1.0	2.0	1.0	1.0	1.0	3.0	1.0	1.0	3.0
2.0	1.0	2.0	3.0	2.0	2.0	2.0	3.0	3.0	2.0	4.0
2.0	1.0	3.0	3.0	2.0	2.0	3.0	2.0	2.0	3.0	4.0
3.0	3.0	2.0	3.0	4.0	1.0	2.0	2.0	3.0	3.0	5.0
2.0	1.0	2.0	3.0	2.0	2.0	2.0	3.0	3.0	2.0	3.0
3.0	2.0	2.0	3.0	2.0	1.0	1.0	2.0	3.0	3.0	5.0
1.0	2.0	1.0	3.0	1.0	1.0	1.0	1.0	3.0	2.0	3.0
2.0	2.0	4.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	5.0
1.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	4.0
2.0	2.0	2.0	2.0	2.0	1.0	2.0	3.0	1.0	3.0	4.0
2.0	3.0	3.0	2.0	3.0	1.0	3.0	2.0	2.0	3.0	3.0
1.0	3.0	3.0	1.0	4.0	2.0	1.0	1.0	2.0	3.0	3.0
3.0	2.0	3.0	2.0	2.0	1.0	2.0	3.0	3.0	3.0	5.0
3.0	2.0	3.0	1.0	1.0	1.0	1.0	2.0	3.0	1.0	4.0
1.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	3.0
3.0	3.0	4.0	3.0	4.0	1.0	3.0	2.0	3.0	3.0	5.0
2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	5.0
2.0	3.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	3.0	4.0
1.0	3.0	1.0	2.0	3.0	1.0	2.0	2.0	2.0	2.0	4.0
2.0	2.0	1.0	2.0	3.0	1.0	2.0	2.0	2.0	1.0	4.0
3.0	3.0	4.0	3.0	2.0	1.0	3.0	2.0	3.0	2.0	5.0
2.0	2.0	4.0	3.0	3.0	2.0	3.0	2.0	3.0	3.0	5.0
2.0	2.0	1.0	1.0	3.0	1.0	1.0	3.0	1.0	1.0	3.0
2.0	1.0	2.0	2.0	3.0	1.0	2.0	2.0	3.0	1.0	5.0
3.0	3.0	4.0	1.0	4.0	2.0	3.0	3.0	3.0	2.0	5.0
3.0	2.0	2.0	3.0	2.0	1.0	1.0	2.0	3.0	3.0	4.0
2.0	1.0	1.0	2.0	2.0	1.0	2.0	1.0	1.0	3.0	3.0
3.0	2.0	1.0	2.0	3.0	2.0	1.0	3.0	1.0	1.0	3.0
3.0	3.0	4.0	3.0	4.0	1.0	3.0	2.0	3.0	3.0	5.0
1.0	3.0	4.0	1.0	3.0	2.0	3.0	1.0	1.0	3.0	5.0
2.0	2.0	1.0	3.0	3.0	1.0	3.0	2.0	1.0	2.0	3.0
3.0	3.0	3.0	2.0	1.0	1.0	3.0	3.0	1.0	1.0	4.0
1.0	3.0	1.0	3.0	2.0	2.0	1.0	2.0	1.0	3.0	3.0
3.0	1.0	1.0	3.0	3.0	2.0	2.0	2.0	3.0	3.0	3.0
1.0	3.0	3.0	1.0	2.0	1.0	2.0	2.0	2.0	3.0	5.0
1.0	3.0	4.0	1.0	3.0	2.0	3.0	1.0	1.0	3.0	4.0
2.0	1.0	1.0	3.0	2.0	1.0	2.0	1.0	1.0	3.0	2.0
1.0	1.0	1.0	2.0	1.0	1.0	3.0	3.0	1.0	1.0	3.0
2.0	2.0	1.0	2.0	3.0	1.0	1.0	2.0	3.0	2.0	4.0
2.0	3.0	3.0	1.0	1.0	2.0	3.0	2.0	1.0	1.0	4.0
1.0	3.0	1.0	3.0	1.0	1.0	1.0	3.0	2.0	2.0	4.0
2.0	3.0	3.0	1.0	1.0	2.0	1.0	3.0	2.0	2.0	4.0
3.0	3.0	4.0	3.0	2.0	1.0	3.0	2.0	3.0	2.0	5.0
2.0	1.0	1.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	3.0
3.0	1.0	1.0	3.0	2.0	2.0	3.0	3.0	1.0	2.0	4.0
3.0	3.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	4.0
3.0	1.0	1.0	3.0	2.0	2.0	3.0	3.0	1.0	2.0	3.0
1.0	2.0	4.0	3.0	1.0	1.0	3.0	2.0	2.0	3.0	5.0
1.0	3.0	2.0	1.0	2.0	2.0	1.0	1.0	2.0	1.0	4.0
3.0	3.0	2.0	3.0	4.0	2.0	2.0	3.0	2.0	3.0	5.0
3.0	3.0	2.0	3.0	4.0	1.0	2.0	2.0	3.0	3.0	5.0
2.0	3.0	4.0	1.0	3.0	2.0	2.0	1.0	2.0	2.0	5.0
2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	3.0	3.0
2.0	2.0	2.0	1.0	4.0	2.0	1.0	3.0	1.0	2.0	4.0
2.0	3.0	4.0	1.0	3.0	2.0	2.0	1.0	2.0	2.0	5.0
3.0	1.0	1.0	1.0	3.0	1.0	2.0	1.0	2.0	3.0	3.0
3.0	2.0	3.0	3.0	1.0	2.0	3.0	1.0	2.0	2.0	3.0
2.0	1.0	2.0	1.0	4.0	1.0	2.0	1.0	2.0	3.0	4.0
3.0	2.0	3.0	3.0	1.0	2.0	3.0	1.0	2.0	2.0	4.0
2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0
2.0	1.0	2.0	1.0	4.0	1.0	2.0	1.0	2.0	3.0	4.0
1.0	1.0	2.0	2.0	1.0	2.0	1.0	2.0	2.0	2.0	3.0
1.0	3.0	1.0	3.0	1.0	1.0	1.0	3.0	2.0	2.0	3.0
3.0	2.0	1.0	1.0	2.0	1.0	2.0	2.0	1.0	3.0	3.0
2.0	3.0	2.0	2.0	2.0	1.0	3.0	3.0	1.0	2.0	4.0
1.0	3.0	3.0	2.0	2.0	2.0	2.0	1.0	3.0	1.0	4.0
3.0	3.0	1.0	1.0	4.0	1.0	2.0	3.0	3.0	3.0	4.0
3.0	2.0	4.0	1.0	2.0	1.0	3.0	2.0	2.0	2.0	4.0
1.0	3.0	1.0	2.0	3.0	1.0	2.0	2.0	2.0	2.0	3.0
3.0	2.0	2.0	3.0	1.0	1.0	3.0	1.0	3.0	3.0	5.0
2.0	2.0	3.0	2.0	4.0	2.0	2.0	2.0	2.0	1.0	3.0
1.0	2.0	3.0	3.0	2.0	1.0	3.0	1.0	3.0	3.0	4.0
2.0	3.0	3.0	2.0	4.0	1.0	3.0	2.0	3.0	1.0	3.0
2.0	2.0	4.0	3.0	3.0	2.0	3.0	2.0	3.0	3.0	5.0
1.0	1.0	2.0	1.0	1.0	1.0	2.0	2.0	1.0	2.0	3.0
2.0	1.0	1.0	3.0	1.0	1.0	3.0	3.0	3.0	1.0	3.0
2.0	1.0	3.0	3.0	2.0	2.0	3.0	2.0	2.0	3.0	4.0
2.0	2.0	2.0	1.0	3.0	2.0	2.0	2.0	3.0	3.0	4.0
2.0	3.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	3.0	4.0
3.0	3.0	4.0	1.0	4.0	2.0	3.0	3.0	3.0	2.0	5.0
3.0	3.0	4.0	1.0	4.0	2.0	3.0	3.0	3.0	2.0	5.0
3.0	2.0	1.0	3.0	3.0	1.0	1.0	3.0	3.0	2.0	4.0
1.0	1.0	2.0	1.0	1.0	1.0	2.0	2.0	1.0	2.0	3.0
1.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	4.0
3.0	2.0	1.0	2.0	3.0	2.0	1.0	3.0	1.0	1.0	4.0
2.0	2.0	1.0	3.0	2.0	2.0	1.0	3.0	1.0	1.0	4.0
2.0	1.0	3.0	3.0	4.0	2.0	2.0	2.0	3.0	2.0	4.0
1.0	3.0	4.0	1.0	3.0	2.0	3.0	1.0	1.0	3.0	4.0
3.0	2.0	2.0	1.0	1.0	2.0	3.0	1.0	1.0	3.0	4.0
2.0	3.0	2.0	2.0	2.0	1.0	3.0	2.0	2.0	1.0	4.0
2.0	2.0	4.0	3.0	2.0	2.0	2.0	1.0	3.0	1.0	5.0
2.0	1.0	3.0	2.0	3.0	1.0	2.0	1.0	3.0	2.0	4.0
2.0	2.0	1.0	2.0	3.0	1.0	1.0	2.0	3.0	2.0	4.0
3.0	3.0	2.0	3.0	2.0	1.0	2.0	2.0	2.0	2.0	3.0
2.0	3.0	1.0	3.0	4.0	1.0	2.0	1.0	2.0	3.0	4.0
1.0	3.0	2.0	1.0	2.0	2.0	1.0	1.0	2.0	1.0	3.0
1.0	3.0	3.0	1.0	2.0	1.0	2.0	2.0	2.0	3.0	5.0
3.0	2.0	2.0	3.0	1.0	1.0	3.0	1.0	3.0	3.0	3.0
2.0	1.0	1.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	3.0
1.0	2.0	1.0	3.0	1.0	1.0	1.0	1.0	3.0	2.0	3.0
1.0	3.0	2.0	1.0	2.0	2.0	1.0	1.0	2.0	1.0	3.0
3.0	3.0	3.0	1.0	4.0	2.0	2.0	2.0	2.0	3.0	4.0
2.0	1.0	1.0	3.0	3.0	1.0	2.0	2.0	2.0	2.0	3.0
2.0	3.0	4.0	2.0	2.0	1.0	3.0	2.0	3.0	2.0	3.0
3.0	2.0	2.0	3.0	2.0	1.0	1.0	2.0	3.0	3.0	5.0
3.0	3.0	1.0	1.0	4.0	1.0	2.0	3.0	3.0	3.0	5.0
3.0	3.0	4.0	3.0	4.0	1.0	3.0	2.0	3.0	3.0	5.0
2.0	2.0	2.0	2.0	2.0	1.0	2.0	3.0	1.0	3.0	5.0
2.0	2.0	1.0	3.0	2.0	2.0	1.0	3.0	1.0	1.0	4.0
2.0	2.0	1.0	1.0	1.0	2.0	2.0	3.0	1.0	1.0	3.0
3.0	2.0	1.0	1.0	2.0	1.0	2.0	2.0	1.0	3.0	3.0
1.0	3.0	1.0	3.0	1.0	1.0	1.0	3.0	2.0	2.0	3.0
2.0	2.0	3.0	1.0	1.0	2.0	2.0	2.0	1.0	3.0	4.0
3.0	3.0	3.0	2.0	4.0	2.0	2.0	2.0	3.0	1.0	5.0
2.0	2.0	1.0	1.0	3.0	1.0	1.0	3.0	1.0	1.0	3.0
3.0	2.0	4.0	1.0	2.0	1.0	3.0	2.0	2.0	2.0	4.0
2.0	3.0	1.0	3.0	4.0	1.0	2.0	1.0	2.0	3.0	4.0
2.0	2.0	1.0	3.0	3.0	1.0	3.0	2.0	1.0	2.0	3.0
2.0	3.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0
1.0	2.0	4.0	1.0	3.0	1.0	1.0	3.0	2.0	2.0	4.0
1.0	3.0	1.0	3.0	2.0	1.0	1.0	1.0	3.0	2.0	4.0
3.0	3.0	3.0	2.0	1.0	1.0	3.0	3.0	1.0	1.0	3.0
2.0	3.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	3.0	4.0
2.0	1.0	1.0	3.0	3.0	1.0	2.0	2.0	2.0	2.0	3.0
2.0	3.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	3.0	4.0
3.0	2.0	3.0	3.0	1.0	2.0	3.0	1.0	2.0	2.0	4.0
2.0	3.0	2.0	2.0	2.0	1.0	3.0	2.0	2.0	1.0	5.0
1.0	1.0	2.0	3.0	3.0	2.0	2.0	3.0	1.0	3.0	4.0
2.0	3.0	2.0	2.0	2.0	1.0	3.0	3.0	1.0	2.0	4.0
2.0	1.0	1.0	3.0	3.0	1.0	2.0	2.0	2.0	2.0	3.0
2.0	1.0	3.0	3.0	2.0	2.0	3.0	2.0	2.0	3.0	4.0
2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	5.0
3.0	1.0	1.0	3.0	3.0	2.0	2.0	2.0	3.0	3.0	4.0
2.0	1.0	1.0	2.0	2.0	1.0	2.0	1.0	1.0	3.0	3.0
1.0	3.0	3.0	2.0	4.0	1.0	1.0	3.0	3.0	3.0	5.0
2.0	2.0	1.0	1.0	3.0	1.0	1.0	3.0	1.0	1.0	3.0
3.0	3.0	4.0	1.0	4.0	2.0	3.0	3.0	3.0	2.0	3.0
3.0	2.0	1.0	1.0	2.0	1.0	2.0	2.0	1.0	3.0	3.0
2.0	2.0	4.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	5.0
3.0	1.0	1.0	2.0	3.0	2.0	2.0	1.0	3.0	1.0	3.0
2.0	3.0	3.0	1.0	1.0	2.0	3.0	2.0	1.0	1.0	4.0
2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0
2.0	2.0	4.0	3.0	3.0	2.0	3.0	2.0	3.0	3.0	5.0
2.0	3.0	1.0	3.0	4.0	1.0	2.0	1.0	2.0	3.0	5.0
3.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0	3.0	5.0
2.0	3.0	1.0	3.0	4.0	1.0	2.0	1.0	2.0	3.0	4.0
2.0	1.0	3.0	2.0	3.0	1.0	2.0	1.0	3.0	2.0	4.0
2.0	2.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	3.0	3.0
3.0	1.0	1.0	3.0	3.0	2.0	2.0	2.0	3.0	3.0	4.0
1.0	1.0	1.0	2.0	1.0	1.0	3.0	3.0	1.0	1.0	3.0
3.0	2.0	2.0	3.0	2.0	1.0	1.0	2.0	3.0	3.0	5.0
2.0	2.0	4.0	3.0	2.0	2.0	2.0	1.0	3.0	1.0	4.0
3.0	1.0	1.0	3.0	3.0	2.0	2.0	2.0	3.0	3.0	3.0
1.0	3.0	1.0	3.0	1.0	1.0	1.0	3.0	2.0	2.0	4.0
2.0	3.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	3.0	4.0
2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	3.0
1.0	3.0	3.0	2.0	2.0	1.0	2.0	3.0	2.0	1.0	4.0
3.0	3.0	4.0	3.0	4.0	2.0	3.0	3.0	3.0	3.0	5.0
1.0	3.0	3.0	2.0	2.0	2.0	2.0	1.0	3.0	1.0	3.0
1.0	3.0	2.0	1.0	2.0	2.0	1.0	1.0	2.0	1.0	2.0
2.0	2.0	1.0	2.0	3.0	1.0	2.0	2.0	2.0	1.0	3.0
1.0	3.0	1.0	2.0	3.0	1.0	2.0	2.0	2.0	2.0	4.0
2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	4.0
2.0	2.0	2.0	1.0	4.0	2.0	1.0	3.0	1.0	2.0	5.0
3.0	1.0	2.0	1.0	3.0	2.0	2.0	3.0	2.0	2.0	3.0
2.0	2.0	1.0	1.0	1.0	2.0	2.0	3.0	1.0	1.0	4.0
2.0	2.0	1.0	1.0	3.0	1.0	1.0	3.0	1.0	1.0	3.0
2.0	3.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	3.0	5.0
3.0	3.0	2.0	1.0	2.0	2.0	3.0	3.0	3.0	3.0	4.0
3.0	2.0	1.0	2.0	3.0	2.0	1.0	3.0	1.0	1.0	3.0
2.0	2.0	1.0	2.0	3.0	1.0	2.0	2.0	2.0	1.0	4.0
2.0	2.0	2.0	1.0	4.0	2.0	1.0	3.0	1.0	2.0	4.0
3.0	2.0	2.0	3.0	2.0	1.0	1.0	2.0	3.0	3.0	4.0
2.0	2.0	2.0	3.0	2.0	2.0	2.0	3.0	1.0	2.0	4.0
3.0	1.0	1.0	2.0	3.0	2.0	2.0	1.0	3.0	1.0	3.0
2.0	3.0	3.0	1.0	1.0	2.0	1.0	3.0	2.0	2.0	3.0
1.0	2.0	4.0	1.0	3.0	1.0	1.0	3.0	2.0	2.0	5.0
1.0	3.0	1.0	3.0	1.0	1.0	1.0	3.0	2.0	2.0	3.0
3.0	3.0	3.0	3.0	3.0	1.0	1.0	2.0	3.0	3.0	5.0
3.0	1.0	1.0	1.0	3.0	1.0	2.0	1.0	2.0	3.0	4.0
1.0	3.0	3.0	1.0	4.0	2.0	1.0	1.0	2.0	3.0	4.0
1.0	2.0	2.0	3.0	3.0	2.0	2.0	1.0	1.0	2.0	4.0
3.0	3.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	5.0
1.0	2.0	1.0	3.0	1.0	1.0	1.0	1.0	3.0	2.0	3.0
1.0	3.0	1.0	3.0	2.0	1.0	1.0	1.0	3.0	2.0	3.0
1.0	3.0	3.0	1.0	4.0	2.0	1.0	1.0	2.0	3.0	5.0
2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	5.0
1.0	3.0	1.0	3.0	1.0	1.0	1.0	3.0	2.0	2.0	3.0
3.0	1.0	1.0	1.0	3.0	1.0	2.0	1.0	2.0	3.0	3.0
3.0	3.0	2.0	3.0	4.0	2.0	2.0	3.0	2.0	3.0	5.0
1.0	2.0	4.0	3.0	1.0	1.0	3.0	2.0	2.0	3.0	5.0
2.0	3.0	4.0	2.0	2.0	1.0	3.0	2.0	3.0	2.0	4.0
1.0	2.0	2.0	2.0	2.0	1.0	3.0	1.0	2.0	1.0	4.0
2.0	3.0	3.0	1.0	1.0	2.0	3.0	2.0	1.0	1.0	4.0
2.0	1.0	3.0	3.0	4.0	2.0	2.0	2.0	3.0	2.0	4.0
2.0	1.0	2.0	3.0	2.0	2.0	2.0	3.0	3.0	2.0	4.0
2.0	3.0	2.0	2.0	2.0	1.0	3.0	2.0	2.0	1.0	4.0
3.0	2.0	4.0	1.0	2.0	1.0	3.0	2.0	2.0	2.0	4.0
3.0	3.0	3.0	1.0	4.0	2.0	2.0	2.0	2.0	3.0	4.0
3.0	3.0	4.0	1.0	4.0	2.0	3.0	3.0	3.0	2.0	4.0
3.0	2.0	1.0	3.0	3.0	1.0	1.0	3.0	3.0	2.0	3.0
3.0	3.0	2.0	1.0	2.0	2.0	3.0	3.0	3.0	3.0	4.0
3.0	3.0	3.0	2.0	1.0	1.0	2.0	2.0	3.0	2.0	4.0
3.0	3.0	2.0	3.0	4.0	2.0	2.0	3.0	2.0	3.0	4.0
2.0	3.0	4.0	3.0	2.0	2.0	2.0	3.0	3.0	2.0	5.0
1.0	3.0	3.0	1.0	2.0	1.0	2.0	2.0	2.0	3.0	4.0
1.0	3.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0	3.0	3.0
2.0	3.0	3.0	1.0	1.0	2.0	3.0	2.0	1.0	1.0	3.0
3.0	1.0	2.0	1.0	3.0	2.0	2.0	3.0	2.0	2.0	4.0
1.0	1.0	2.0	1.0	1.0	1.0	2.0	2.0	1.0	2.0	4.0
2.0	2.0	2.0	1.0	1.0	1.0	1.0	3.0	2.0	3.0	3.0
3.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0	3.0	5.0
2.0	1.0	3.0	2.0	3.0	1.0	2.0	1.0	3.0	2.0	3.0
1.0	2.0	4.0	1.0	3.0	1.0	1.0	3.0	2.0	2.0	3.0
2.0	2.0	2.0	1.0	1.0	1.0	1.0	3.0	2.0	3.0	4.0
3.0	1.0	1.0	3.0	2.0	2.0	3.0	3.0	1.0	2.0	4.0
3.0	3.0	4.0	3.0	4.0	1.0	3.0	2.0	3.0	3.0	4.0
1.0	3.0	3.0	1.0	2.0	1.0	2.0	2.0	2.0	3.0	4.0
2.0	3.0	3.0	2.0	3.0	1.0	3.0	2.0	2.0	3.0	5.0
3.0	3.0	4.0	3.0	4.0	2.0	3.0	3.0	3.0	3.0	5.0
1.0	2.0	1.0	3.0	1.0	1.0	1.0	1.0	3.0	2.0	3.0
3.0	2.0	3.0	3.0	1.0	2.0	3.0	1.0	2.0	2.0	4.0
3.0	3.0	2.0	3.0	4.0	1.0	2.0	2.0	3.0	3.0	5.0
3.0	2.0	4.0	1.0	2.0	1.0	3.0	2.0	2.0	2.0	4.0
2.0	3.0	2.0	2.0	2.0	1.0	3.0	2.0	2.0	1.0	4.0
2.0	1.0	2.0	3.0	2.0	2.0	2.0	3.0	3.0	2.0	5.0
1.0	1.0	2.0	3.0	3.0	2.0	2.0	3.0	1.0	3.0	4.0
2.0	2.0	3.0	1.0	1.0	2.0	2.0	2.0	1.0	3.0	4.0
3.0	3.0	3.0	1.0	4.0	2.0	2.0	2.0	2.0	3.0	4.0
1.0	1.0	2.0	2.0	1.0	2.0	1.0	2.0	2.0	2.0	4.0
3.0	3.0	4.0	3.0	3.0	2.0	2.0	2.0	3.0	3.0	5.0
2.0	1.0	1.0	3.0	1.0	1.0	3.0	3.0	3.0	1.0	3.0
2.0	2.0	2.0	2.0	2.0	1.0	2.0	3.0	1.0	3.0	3.0
1.0	1.0	2.0	2.0	1.0	2.0	1.0	2.0	2.0	2.0	3.0
3.0	3.0	3.0	2.0	4.0	2.0	2.0	2.0	3.0	1.0	4.0
1.0	3.0	3.0	2.0	2.0	1.0	2.0	3.0	2.0	1.0	4.0
2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	3.0
1.0	1.0	2.0	2.0	1.0	2.0	1.0	2.0	2.0	2.0	3.0
2.0	3.0	3.0	1.0	1.0	2.0	3.0	2.0	1.0	1.0	4.0
2.0	3.0	3.0	2.0	3.0	1.0	3.0	2.0	2.0	3.0	4.0
2.0	1.0	3.0	3.0	2.0	2.0	3.0	2.0	2.0	3.0	3.0
1.0	3.0	1.0	3.0	2.0	2.0	1.0	2.0	1.0	3.0	3.0
3.0	2.0	2.0	2.0	4.0	1.0	3.0	1.0	2.0	3.0	4.0
1.0	3.0	3.0	1.0	2.0	1.0	2.0	2.0	2.0	3.0	4.0
1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0
2.0	3.0	3.0	2.0	2.0	2.0	3.0	2.0	3.0	3.0	4.0
3.0	3.0	3.0	2.0	1.0	1.0	2.0	2.0	3.0	2.0	4.0
2.0	2.0	4.0	3.0	2.0	2.0	2.0	1.0	3.0	1.0	4.0
3.0	2.0	3.0	3.0	3.0	2.0	3.0	3.0	1.0	3.0	5.0
3.0	2.0	1.0	3.0	3.0	1.0	1.0	3.0	3.0	2.0	4.0
1.0	2.0	3.0	3.0	2.0	1.0	3.0	1.0	3.0	3.0	4.0
1.0	2.0	1.0	1.0	4.0	1.0	1.0	1.0	2.0	1.0	3.0
2.0	3.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	3.0	5.0
2.0	3.0	4.0	3.0	2.0	2.0	2.0	3.0	3.0	2.0	4.0
3.0	2.0	2.0	3.0	2.0	1.0	1.0	2.0	3.0	3.0	4.0
2.0	3.0	3.0	2.0	2.0	2.0	1.0	3.0	2.0	3.0	5.0
1.0	3.0	1.0	2.0	3.0	1.0	2.0	2.0	2.0	2.0	4.0
2.0	1.0	3.0	3.0	2.0	2.0	3.0	2.0	2.0	3.0	5.0
1.0	2.0	2.0	3.0	1.0	1.0	1.0	2.0	2.0	2.0	4.0
2.0	3.0	3.0	2.0	4.0	1.0	3.0	2.0	3.0	1.0	4.0
1.0	2.0	1.0	1.0	4.0	1.0	1.0	1.0	2.0	1.0	4.0
2.0	1.0	3.0	2.0	3.0	1.0	2.0	1.0	3.0	2.0	4.0
3.0	3.0	2.0	3.0	4.0	1.0	2.0	2.0	3.0	3.0	4.0
3.0	3.0	2.0	3.0	4.0	2.0	2.0	3.0	2.0	3.0	5.0
1.0	1.0	1.0	3.0	1.0	2.0	1.0	1.0	2.0	3.0	3.0
1.0	3.0	3.0	2.0	4.0	1.0	1.0	3.0	3.0	3.0	5.0
1.0	3.0	2.0	1.0	2.0	2.0	1.0	1.0	2.0	1.0	3.0
3.0	1.0	1.0	3.0	3.0	2.0	2.0	2.0	3.0	3.0	5.0
1.0	1.0	1.0	2.0	1.0	1.0	3.0	3.0	1.0	1.0	3.0
1.0	3.0	3.0	2.0	2.0	2.0	2.0	1.0	3.0	1.0	4.0
2.0	1.0	1.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	3.0
1.0	1.0	1.0	3.0	1.0	2.0	1.0	1.0	2.0	3.0	2.0
2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	5.0
3.0	2.0	3.0	1.0	1.0	1.0	1.0	2.0	3.0	1.0	4.0
2.0	1.0	1.0	3.0	3.0	1.0	2.0	2.0	2.0	2.0	3.0
3.0	1.0	1.0	3.0	2.0	2.0	3.0	3.0	1.0	2.0	3.0
1.0	3.0	4.0	1.0	3.0	2.0	3.0	1.0	1.0	3.0	4.0
1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0
2.0	3.0	3.0	2.0	2.0	2.0	1.0	3.0	2.0	3.0	5.0
2.0	2.0	2.0	1.0	1.0	1.0	1.0	3.0	2.0	3.0	3.0
1.0	3.0	4.0	1.0	3.0	2.0	3.0	1.0	1.0	3.0	4.0
1.0	2.0	2.0	3.0	1.0	1.0	1.0	2.0	2.0	2.0	5.0
2.0	3.0	3.0	1.0	1.0	2.0	3.0	2.0	1.0	1.0	4.0
3.0	3.0	3.0	1.0	4.0	2.0	2.0	2.0	2.0	3.0	4.0
1.0	3.0	4.0	1.0	4.0	2.0	1.0	3.0	1.0	1.0	4.0
2.0	3.0	2.0	2.0	2.0	1.0	3.0	3.0	1.0	2.0	3.0
2.0	1.0	1.0	3.0	2.0	1.0	2.0	1.0	1.0	3.0	2.0
3.0	2.0	1.0	2.0	3.0	2.0	1.0	3.0	1.0	1.0	3.0
1.0	3.0	3.0	2.0	4.0	1.0	1.0	3.0	3.0	3.0	4.0
2.0	3.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	3.0	5.0
2.0	1.0	3.0	3.0	2.0	2.0	3.0	2.0	2.0	3.0	3.0
2.0	2.0	1.0	1.0	3.0	1.0	1.0	3.0	1.0	1.0	3.0
3.0	3.0	4.0	3.0	4.0	1.0	3.0	2.0	3.0	3.0	5.0
1.0	2.0	1.0	2.0	1.0	1.0	1.0	3.0	1.0	1.0	2.0
1.0	3.0	4.0	1.0	4.0	2.0	1.0	3.0	1.0	1.0	3.0
1.0	2.0	2.0	2.0	2.0	1.0	3.0	1.0	2.0	1.0	3.0
1.0	2.0	4.0	3.0	1.0	1.0	3.0	2.0	2.0	3.0	5.0
